id,author,comment,timestamp,desired,type,tone
1,@feniks418,ЛУЧШИЕ СТАВКИ НА НАШЕЙ ПЛАТФОРМЕ ПЕРЕХОДИТЕ В ШАПКУ ПРОФИЛЯ И ВЫИГРЫЩ БУДЕТ ВАШ,2025-09-20T17:30:59Z,False,not_desired,not_desired
2,@feniks418,а что за пздццц. не работает интернет,2025-09-20T17:11:02Z,False,not_desired,not_desired
3,@feniks418,что лучше алтел или билайн?,2025-09-20T17:07:59Z,True,вопрос,нейтральная
4,@Hahahooe,Здравствуйте я в семее купил алтел 5жи на айфон я смотрю а там только 3жи и 4 жи,2025-06-14T13:33:13Z,True,жалоба,негативная
5,@mercedes-benzg63amg25,"Ага, блин самый быстрый интернет в мире. Сначала сделайте нормальным хотя бы 4G",2025-01-21T17:46:25Z,False,not_desired,not_desired
6,@Serenke3,"2024 год, ноябрь декабрь месяц, интернет стал работать очень медленно. Надеюсь исправите это, потому как ранее всё было супер",2024-12-20T09:09:03Z,True,жалоба,негативная
7,@GK_ZHAN,Бізде вайфай 5g ұстамайды нестесек болады тек 4g Түркістанда тұрамын,2024-07-19T07:57:20Z,True,вопрос,негативная
8,@GK_ZHAN,@@ALTEL5G қалай жазсам болады сайтқа өттім ары қарай түсінбей жатырмын,2024-07-20T13:18:24Z,True,вопрос,нейтральная
9,@ГаухарАли-ш9ш,Я оставил заявку на алтел кз но что делать если я не поднял трубку,2024-06-08T15:04:00Z,True,вопрос,нейтральная
10,@СабитЕшмухамбетов-п3ш,Когда добавите realme 10 pro plus 5G в список? Вообще не ловит,2023-08-30T14:00:58Z,True,вопрос,негативная
11,@Талғат-т9э,Вранее в атырау нету вашы станцы 5 g даже 4 g хуже ловит вы чье одмановаете людей,2023-08-26T19:52:19Z,False,not_desired,not_desired
12,@xiaomipocophonef1,В Костанае есть 5G?,2023-08-24T13:32:49Z,True,вопрос,нейтральная
13,@Странник-з4ъ,збс чётко<br>когда в Усть-Каменогорске будет,2023-06-30T09:12:09Z,True,вопрос,нейтральная
14,@nircv,"Қайдағы 5g, бірінші 4g-ді нормально жасамайсындар ма. Екі сөзбен айтсан - кал инет. Алматыдамын, бірақ по ощущениям жердің бір жеріндегідей.",2023-06-29T07:24:34Z,False,not_desired,not_desired
15,@dastantoktarov1802,Өскемен қаласында қашан болады? Мен тұратын жерде 4g әрең жұмыс жасайды. Бірақ жанындамын. Ал сіздер 5g дейсіздер😂,2023-06-27T17:39:58Z,True,вопрос,негативная
16,@СергейСпорт-ъ7ц,"​@@ALTEL5GЗдравствуйте. Как можно дозвонится до вашего живого оператора,? не робота!",2023-07-16T06:04:20Z,True,вопрос,негативная
17,@No_damag,❤👍бағасы енді қымбатадыма?😢СТОП ✋️ НЕ НАДО ДОРОГО,2023-06-27T10:26:04Z,False,not_desired,not_desired
